# General information

1W1 - Spann Island
15
10
1
2
0
0


# Terrain

666666666666666
660211711020006
600212601000006
600116661030106
600106661030106
601106621111106
600000022066766
660000000066006
666630320070006
666666666666666


# Buildings

# Ally
6,2,1,0
5,1,1,2
6,1,1,2
7,2,1,2
7,3,1,2

# Ennemy
2,12,2,0
1,11,2,2
1,13,2,2
2,13,2,2
3,13,2,2

# Neutral
2,9,0,1
3,1,0,1
3,2,0,1
4,9,0,1
4,11,0,1
5,4,0,1
5,13,0,1
8,5,0,1
8,8,0,1
8,12,0,1
8,13,0,1
